곡명,라인,제목점수,길이점수,후렴점수,최고빈도점수,평균빈도점수
Stigma,숨겨왔어,0,1,1,3,2.5
Stigma,i tell you something,0,4,1,6,3.2
Stigma,그저 묻어두기엔,0,2,1,1,1
Stigma,이젠 버틸 수가 없는 걸,0,5,1,6,3.2
Stigma,왜 그땐 말 못 했는지,0,5,1,10,3.8
Stigma,어차피 아파와서,0,2,1,3,2
Stigma,정말 버틸 수가 없을 걸,0,5,1,6,3.2
Stigma,"now, cry",0,2,1,3,2
Stigma,너에게 너무 미안할 뿐야,0,4,1,10,3.3
Stigma,또 cry,0,2,1,3,2
Stigma,널 지켜주지 못해서,0,3,1,10,4.4
Stigma,더 깊이 더 깊이 상처만 깊어져,0,6,2,8,5.7
Stigma,되돌릴 수 없는,0,3,1,6,4.3
Stigma,깨진 유리 조각 같아,0,4,1,3,2.2
Stigma,더 깊이 매일이 가슴만 아파져,0,5,2,8,4.4
Stigma,내 죄를 대신 받던,0,4,2,7,4
Stigma,연약하기만 했던 너,0,3,2,10,6.8
Stigma,그만 울고 tell me something,0,5,1,2,1.6
Stigma,용기 없던 내게 말해봐,0,4,1,10,5.2
Stigma,(그 때 나한테 왜 그랬어?),0,5,1,7,2.4
Stigma,미안 됐어 내게 무슨 자격 있어,0,6,1,7,2.5
Stigma,이래보라고 저래보라고,0,2,1,3,2
Stigma,너에게 말하겠어,0,2,1,10,6.3
Stigma,더 깊이 더 깊이 상처만 깊어져,0,6,2,8,5.7
Stigma,되돌릴 수 없는 깨진 유리 조각 같아,0,7,1,6,3.1
Stigma,더 깊이 매일이 가슴만 아파져,0,5,2,8,4.4
Stigma,내 죄를 대신 받던,0,4,2,7,4
Stigma,연약하기만 했던 너,0,3,2,10,6.8
Stigma,"i'm sorry, i'm sorry, i'm sorry, my brother",0,11,1,6,4.5
Stigma,숨겨도 감춰도 지워지지 않어,0,4,2,6,3
Stigma,are you calling me a sinner?,0,6,1,3,1.7
Stigma,무슨 말이 더 있겠어,0,4,1,8,4
Stigma,"i'm sorry, i'm sorry, i'm sorry my sister",0,8,1,6,5.4
Stigma,숨겨도 감춰도 지워지지 않어,0,4,2,6,3
Stigma,"so, cry, please, dry my eyes, ooh",0,7,1,3,1.6
Stigma,저 빛이 저 빛이 내 죄를 비춰줘 (oh),0,8,1,7,2.6
Stigma,돌이킬 수 없는,0,3,1,6,4
Stigma,붉은 피가 흘러내려,0,3,1,1,1
Stigma,더 깊이 매일이 죽을 것만 같아,0,6,1,8,3.8
Stigma,그 벌을 받게 해줘,0,4,1,10,4
Stigma,"내 죄를 사해줘, 제발",0,4,1,7,3.4
Make It Right,내가 날 눈치챘던 순간,0,4,1,18,7.8
Make It Right,떠나야만 했어,0,2,1,6,3.5
Make It Right,난 찾아내야 했어,0,3,1,18,8.3
Make It Right,"all day, all night",0,4,1,14,7.8
Make It Right,사막과 바다들을 건너,0,3,1,3,2
Make It Right,넓고 넓은 세계를,0,3,1,2,1.7
Make It Right,헤매어 다녔어,0,2,1,1,1
Make It Right,"baby, i",0,2,1,17,10
Make It Right,i could make it better,0.666666667,5,1,17,9.2
Make It Right,i could hold you tighter,0,5,1,17,6.2
Make It Right,그 먼 길 위에서,0,4,1,6,2.8
Make It Right,oh you're the light,0,4,1,19,4.8
Make It Right,초대받지 못한,0,2,1,2,1.7
Make It Right,환영받지 못한,0,2,1,2,1.7
Make It Right,나를 알아줬던 단 한 사람,0,5,1,18,4.4
Make It Right,끝도 보이지 않던 영원의 밤,0,5,2,3,2.2
Make It Right,내게 아침을 선물한 건 너야,0,5,2,18,9.2
Make It Right,이제 그 손 내가 잡아도 될까,0,6,2,18,6
Make It Right,"oh-oh, i can make it right",1,6,9,20,15.1
