,곡명,가사,좋아요수
0,Stigma,"숨겨왔어
I tell you something
그저 묻어두기엔
이젠 버틸 수가 없는 걸
왜 그땐 말 못 했는지
어차피 아파와서
정말 버틸 수가 없을 걸
Now, cry
너에게 너무 미안할 뿐야
또 cry
널 지켜주지 못해서
더 깊이 더 깊이 상처만 깊어져
되돌릴 수 없는
깨진 유리 조각 같아
더 깊이 매일이 가슴만 아파져
내 죄를 대신 받던
연약하기만 했던 너
그만 울고 tell me something
용기 없던 내게 말해봐
(그 때 나한테 왜 그랬어?)
미안 됐어 내게 무슨 자격 있어
이래보라고 저래보라고
너에게 말하겠어
더 깊이 더 깊이 상처만 깊어져
되돌릴 수 없는 깨진 유리 조각 같아
더 깊이 매일이 가슴만 아파져
내 죄를 대신 받던
연약하기만 했던 너
You might also likeI'm sorry, I'm sorry, I'm sorry, my brother
숨겨도 감춰도 지워지지 않어
""Are you calling me a sinner?""
무슨 말이 더 있겠어
I'm sorry, I'm sorry, I'm sorry my sister
숨겨도 감춰도 지워지지 않어
So, cry, please, dry my eyes, ooh
저 빛이 저 빛이 내 죄를 비춰줘 (Oh)
돌이킬 수 없는
붉은 피가 흘러내려
더 깊이 매일이 죽을 것만 같아
그 벌을 받게 해줘
내 죄를 사해줘, 제발","541,562"
1,Make It Right,"내가 날 눈치챘던 순간
떠나야만 했어
난 찾아내야 했어
All day, all night
사막과 바다들을 건너
넓고 넓은 세계를
헤매어 다녔어
Baby, I
I could make it better
I could hold you tighter
그 먼 길 위에서
Oh you're the light
초대받지 못한
환영받지 못한
나를 알아줬던 단 한 사람
끝도 보이지 않던 영원의 밤
내게 아침을 선물한 건 너야
이제 그 손 내가 잡아도 될까
Oh-oh, I can make it right
All right
All right
Oh-oh, I can make it right
All right
All right
Oh-oh, I can make it right
이 세상 속에 영웅이 된 나
나를 찾는 큰 환호와
내 손, 트로피와 금빛 마이크
All day, everywhere
But 모든 게 너에게 닿기 위함인 걸
내 여정의 답인 걸
널 찾기 위해 노래해
Baby, to you
You might also like전보다 조금 더 커진 키에
좀 더 단단해진 목소리에
모든 건 네게 돌아가기 위해
이제 너라는 지도를 활짝 펼칠게
My rehab
날 봐 왜 못 알아봐
남들의 아우성 따위 나 듣고 싶지 않아
너의 향기는 여전히 나를 꿰뚫어 무너뜨려
되돌아가자 그때로
Baby, I know
I can make it better
I can hold you tighter
그 모든 길은 널
향한 거야
다 소용없었어
너 아닌 다른 건
그때처럼 날 어루만져줘
끝도 보이지 않던 영원의 밤
내게 아침을 선물한 건 너야
이제 그 손 내가 잡아도 될까
Oh-oh, I can make it right
All right
All right
Oh-oh, I can make it right
All right
All right
Oh-oh, I can make it right
여전히 아름다운 너
그날의 그때처럼 말없이 그냥 날 안아줘
지옥에서 내가 살아 남은 건
날 위했던 게 아닌 되려 너를 위한 거란 걸
안다면 주저 말고 please save my life
너 없이 헤쳐왔던 사막 위는 목말라
그러니 어서 빨리 날 잡아줘
너 없는 바다는 결국 사막과 같을 거란 걸 알아
All right
I can make it better
I can hold you tighter
Oh-oh, I can make it right
다 소용없었어
너 아닌 다른 건
Oh-oh, I can make it right
All right
All right
Oh-oh, I can make it right","450,076"
2,Epiphany,"참 이상해 분명 난 너를 너무 사랑했는데 (사랑했는데)
모두 너에게 맞추고 널 위해 살고 싶었는데
그럴수록 내 맘속의 폭풍을 감당할 수 없게 돼
웃고 있는 가면속의 진짜 내 모습을 다 드러내
I'm the one I should love in this world
빛나는 나를 소중한 내 영혼을
이제야 깨달아 So I love me
좀 부족해도 너무 아름다운 걸
I'm the one I should love
흔들리고 두려워도 앞으로 걸어가
폭풍 속에 숨겨뒀던 진짜 너와 만나
왜 난 이렇게 소중한 날 숨겨두고 싶었는지
뭐가 그리 두려워 내 진짜 모습을 숨겼는지
I'm the one I should love in this world
빛나는 나를 소중한 내 영혼을
이제야 깨달아 So I love me
좀 부족해도 너무 아름다운 걸
I'm the one I should love
조금은 뭉툭하고 부족할지 몰라
수줍은 광채 따윈 안 보일지 몰라
하지만 이대로의 내가 곧 나인 걸
지금껏 살아온 내 팔과 다리 심장 영혼을
사랑하고 싶어 in this world
빛나는 나를 소중한 내 영혼을
이제야 깨달아 So I love me
좀 부족해도 너무 아름다운 걸
I'm the one I should love
You might also likeI'm the one I should love
I'm the one I should love","441,626"
3,Lost,"눈을 감고 아직 여기 서 있어
사막과 바다 가운데 길을 잃고서
여전히 헤매고 있어
어디로 가야 할지 yeah
이리도 많을 줄 몰랐어
가지 못한 길도 갈 수 없는 길도
I never felt this way before
어른이 되려는지
난 너무 어려운 걸 이 길이 맞는지
정말 너무 혼란스러
Never leave me alone
그래도 믿고 있어 믿기지 않지만
길을 잃는단 건
그 길을 찾는 방법
Lost my way
쉴 새 없이 몰아치는
거친 비바람 속에
Lost my way
출구라곤 없는 복잡한 세상 속에
Lost my way
Lost my way
수없이 헤매도 난
나의 길을 믿어볼래
Lost my way
Found my way
Lost my way
Found my way
어디로 가는 개미를 본 적 있어
단 한 번에 길을 찾는 법이 없어
수없이 부딪히며 기어가는
먹일 찾기 위해
며칠이고 방황하는
You know
쓸모 있어 이 좌절도
난 믿어 우린 바로 가고 있어
언젠가 우리가 찾게 되면
분명 한 번에 집으로 와
개미처럼
You might also like아직은 어려운 걸 이 길이 맞는지
정말 너무 혼란스러
Don't you leave me alone
그래도 믿고 싶어 믿기지 않지만
길을 잃는단 건
그 길을 찾는 방법
Lost my way
쉴 새 없이 몰아치는
거친 비바람 속에
Lost my way
출구라곤 없는 복잡한 세상 속에
Lost my way
Lost my way
수없이 헤매도 난
나의 길을 믿어볼래
So long 기약 없는 희망이여 이젠 안녕
So long 좀 느려도 내 발로 걷겠어
이 길이 분명 나의 길이니까
돌아가도 언젠가 닿을 테니까
I never I will never
I will never lose my dream
Lost my way
쉴 새 없이 몰아치는
거친 비바람 속에
Lost my way
출구라곤 없는 복잡한 세상 속에
Lost my way
Lost my way
수없이 헤매도 난
나의 길을 믿어볼래
Lost my way
Found my way
Lost my way
Found my way","372,942"
5,Anpanman,"Waiting for you, Anpanman
Waiting for you, Anpanman
내겐 없지 알통이나 갑빠
내겐 없지 super car like Batman
되게 멋진 영웅이 내 낭만
But 줄 수 있는 건 오직 Anpan
꿈꿔왔네 hero like Superman
힘껏 뛰었네 하늘높이 방방
무릎팍 까지는 것 따윈 두렵지 않아
순수한 내 어릴 적의 망상
I'm not a superhero
많은 것을 바라지마
I can be your hero
이런 말이 가당키나
한 일인지 모르겠어 정말
근데 꼭 해야겠어요 엄마
내가 아니면 누가할까
You can call me, say ""Anpanman""
Waiting for you, Anpanman
(Lemme hear ya say, lemme hear ya say)
Waiting for you, Anpanman
(Turn it up, turn it up, turn it up)
좀 더 힘을 내볼래
(Lemme hear ya say, lemme hear ya say)
너의 힘이 돼줄래
(Turn it up, turn it up, turn it up)
계속 돌려 돌려 나의 Anpan
Keep ballin', ballin', still 방탄
눈 뜨니 hero but still in 미로
그 young man, young man, young man
계속 몰래 몰래 상처 만땅
But ballin', ballin', still 방탄
아파도 hero 두려움은 뒤로
Anpanman-panman-panman
I'm a new generation Anpanman
I'm a new superhero Anpanman
내가 가진 건 이 노래 한방
Lemme say ""All the bad men, cop out""
I'm a new generation Anpanman
I'm a new superhero Anpanman
내가 가진 건 이 노래 한방
Lemme say ""All the bad men, cop out""
You might also like가끔은 이 모든 게 두렵네
사랑하는 게 넘 많이 생겼기에
누군 말해 너도 이제 꼰대 다 됐으
자격 없어 그냥 하던 거나 잘 해
그래도 난 영웅이고파
줄 수 있는 건 단팥빵
과 수고했단 말뿐이다만
부름 바로 날라갈게 날 불러줘
Waiting for you, Anpanman
(Lemme hear ya say, lemme hear ya say)
Waiting for you, Anpanman
(Turn it up, turn it up, turn it up)
좀 더 힘을 내볼래
(Lemme hear ya say, lemme hear ya say)
너의 힘이 돼줄래
(Turn it up, turn it up, turn it up)
계속 돌려 돌려 나의 Anpan
Keep ballin', ballin', still 방탄
눈 뜨니 hero but still in 미로
그 young man, young man, young man
계속 몰래 몰래 상처 만땅
But ballin', ballin', still 방탄
아파도 hero 두려움은 뒤로
Anpanman-panman-panman
솔직하게 (Yeah)
무서워 넘어지는 게
너희들을 실망시키는 게
그래도 내 온 힘을 다해서라도
나 꼭 너의 곁에 있을게
다시 넘어지겠지만 (Ayy)
또다시 실수 하겠지만 (Ayy)
또 진흙투성이겠지만
나를 믿어 나는 hero 니까, yeah, yeah
계속 돌려 돌려 나의 Anpan (Woah, oh)
Keep ballin', ballin', still 방탄 (Yeah, yeah, yeah, yeah)
눈 뜨니 hero but still in 미로 (Woah, oh)
그 young man, young man, young man (Young man)
계속 몰래 몰래 상처 만땅 (Woah, oh)
But ballin', ballin', still 방탄 (Yeah, yeah, yeah, yeah)
아파도 hero 두려움은 뒤로 (Woah, oh)
Anpanman-panman-panman (Panman)
I'm a new generation Anpanman (Woah, oh)
I'm a new superhero Anpanman
내가 가진 건 이 노래 한방 (Woah, oh)
Lemme say ""All the bad men, cop out""
I'm a new generation Anpanman (Woah, oh)
I'm a new superhero Anpanman
내가 가진 건 이 노래 한방 (Woah, oh)
Lemme say ""All the bad men, cop out""
Woah, oh","319,874"
6,Dynamite,"So watch me bring the fire and set the night alight
Shoes on, get up in the morn'
Cup of milk, let's rock and roll
King Kong, kick the drum
Rolling on like a Rolling Stone
Sing-song when I'm walkin' home
Jump up to the top, LeBron
Ding-dong, call me on my phone
Ice tea and a game of ping pong
This is gettin' heavy, can you hear the bass boom? I'm ready (Woo-hoo)
Life is sweet as honey, yeah, this beat cha-ching like money, huh
Disco overload, I'm into that, I'm good to go
I'm diamond, you know I glow up
Hey, so let's go
'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight (Hey)
Shinin' through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh
Bring a friend, join the crowd, whoever wanna come along
Word up, talk the talk, just move like we off the wall
Day or night, the sky's alight, so we dance to the break of dawn (Hey)
Ladies and gentlemen, I got the medicine, so you should keep ya eyes on the ball (Huh)
This is gettin' heavy, can you hear the bass boom? I'm ready (Woo-hoo)
Life is sweet as honey, yeah, this beat cha-ching like money, huh
Disco overload, I'm into that, I'm good to go
I'm diamond, you know I glow up
Let's go
You might also like'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight (Hey)
Shinin' through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh
Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite
Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite
Shinin' through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Light it up like dynamite
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Light it up like dynamite
'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight
Shinin' through the city with a little funk and soul
So I'ma light it up like dynamite
(This is ah) 'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight (Alight, oh)
Shinin' through the city with a little funk and soul
So I'ma light (Light ) it (It) up (Up) like (Like) dynamite (Dynamite), woah-oh-oh
Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite (Life is dynamite)
Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite (Oh)
Shinin' through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh","285,883"
7,I'm Fine,"시리도록 푸른 하늘 아래 눈 떠
흠뻑 쏟아지는 햇살이 날 어지럽게 해
한껏 숨이 차오르고 심장은 뛰어
느껴져 너무 쉽게 나 살아있다는 걸
괜찮아 우리가 아니어도 슬픔이 날 지워도
먹구름은 또 끼고 나 끝없는 꿈 속이어도
한없이 구겨지고 날개는 찢겨지고
언젠가 내가 내가 아니게 된달지어도
괜찮아 오직 나만이 나의 구원이잖아
못된 걸음걸이로 절대 죽지 않고 살아
How you doin'? I'm fine 내 하늘은 맑아
모든 아픔들이여 say goodbye 잘가
차가운 내 심장은
널 부르는 법을 잊었지만
외롭지 않은 걸 괜찮아, 괜찮아
깜깜한 밤 어둠은
잠든 꿈을 흔들어 놓지만
두렵지 않은 걸 괜찮아 괜찮아
I'm feeling just fine, fine, fine
이젠 너의 손을 놓을게
I know I'm all mine, mine, mine
'Cause I'm just fine
I'm feeling just fine, fine, fine
더 이상은 슬프지 않을래
I could see the sunshine, shine, shine
'Cause I'm just fine, just fine
(Hey, Hope World)
I'm just fine 내 아픔 다
이겨낼 수 있어 너 없이 나
I'm just fine 걱정 마
이젠 웃을 수 있고
네 목소린 모두 알아 주니까
I'm so fine, you so fine
슬픔과 상처는 모두 다
이미 지나간 추억이 됐으니
웃으며 보내주자고 we so fine
I'm so fine, you so fine
우리들 미래는 기쁨만
가득할 테니 걱정은 접어둔 채
이젠 즐겨 수고했어 we so fine
You might also like차가운 내 심장은
널 부르는 법을 잊었지만
외롭지 않은 걸 괜찮아, 괜찮아
깜깜한 밤 어둠은
잠든 꿈을 흔들어 놓지만
두렵지 않은 걸 괜찮아 괜찮아
I'm feeling just fine, fine, fine
이젠 너의 손을 놓을게
I know I'm all mine, mine, mine
'Cause I'm just fine
I'm feeling just fine, fine, fine
더 이상은 슬프지 않을래
I could see the sunshine, shine, shine
'Cause I'm just fine, just fine
혹시 너에게도 보일까
이 스산한 달빛이
너에게도 들릴까 (Woah-oh, ayy)
이 희미한 메아리가
I'm feeling just fine, fine, fine
혼자서라도 외쳐보겠어
되풀이될 이 악몽에 주문을 걸어
I'm feeling just fine, fine, fine
몇 번이라도 되뇌보겠어
또 다시 쓰러진대도 난 괜찮아
I'm feeling just fine, fine, fine
혼자서라도 외쳐보겠어
되풀이될 이 악몽에 주문을 걸어
I'm feeling just fine, fine, fine
몇 번이라도 되뇌보겠어
또 다시 쓰러진대도 난 괜찮아
I'm fine
I'm fine","267,536"
8,Intro : Persona,"""나는 누구인가?"" 평생 물어온 질문
아마 평생 정답은 찾지 못할 그 질문
나란 놈을 고작 말 몇 개로
답할 수 있었다면
신께서 그 수많은 아름다움을
다 만드시진 않았겠지
How you feel? 지금 기분이 어때?
사실 난 너무 좋아 근데 조금 불편해
나는 내가 개인지 돼진지
뭔지도 아직 잘 모르겠는데
남들이 와서 진주목걸일 거네
칵 퉤
예전보단 자주 웃어
소원했던 superhero
이젠 진짜 된 것 같어
근데 갈수록 뭔 말들이 많어
누군 달리라고 누군 멈춰서라 해
얘는 숲을 보라고
걔는 들꽃을 보라 해
내 그림자
나는 망설임이라 쓰고 불렀네
걘 그게 되고 나서
망설인 적이 없었네
무대 아래든 아님 조명 아래든
자꾸 나타나
아지랑이처럼 뜨겁게
자꾸 날 노려보네 oh shit
야 이 짓을 왜 시작한 건지
벌써 잊었냐
넌 그냥 들어주는 누가 있단 게
막 좋았던 거야
가끔은 그냥 싹 다 헛소리 같아
취하면 나오는 거 알지 취기 같아
나 따위가 무슨 music
나 따위가 무슨 truth
나 따위가 무슨 소명
나 따위가 무슨 muse
내가 아는 나의 흠
어쩜 그게 사실 내 전부
세상은 사실 아무 관심 없어
나의 서툼
이제 질리지도 않는 후회들과
매일 밤 징그럽게 뒹굴고
돌릴 길 없는 시간들을
습관처럼 비틀어도
그때마다 날 또 일으켜 세운 것
최초의 질문
내 이름 석 자
그 가장 앞에 와야 할 but
So I'm askin' once again, yeah
Who the hell am I?
Tell me all your names baby
Do you wanna die?
Oh, do you wanna go?
Do you wanna fly?
Where's your soul?
Where's your dream?
Do you think you're alive?
Ah, shit
I don't know man
But I know one thing
Yeah, my name is R
내가 기억하고 사람들이 아는 나
날 토로하기 위해
내가 스스로 만들어낸 나
Yeah 난 날 속여왔을지도
뻥쳐왔을지도 but 부끄럽지 않아
이게 내 영혼의 지도
Dear myself, 넌 절대로 너의 온도를 잃지 마
따뜻히도 차갑게도 될 필요 없으니까
가끔은 위선적이어도 위악적이어도
이게 내가 걸어두고 싶은 내 방향의 척도
내가 되고 싶은 나 사람들이 원하는 나
니가 사랑하는 나 또 내가 빚어내는 나
웃고 있는 나 가끔은 울고 있는 나
지금도 매분 매순간 살아 숨쉬는
You might also likePersona
Who the hell am I?
I just wanna go I just wanna fly
I just wanna give you
All the voices 'til I die
I just wanna give you
All the shoulders when you cry
Persona
Who the hell am I?
I just wanna go I just wanna fly
I just wanna give you
All the voices 'til I die
I just wanna give you
All the shoulders when you cry","263,231"
9,MIC Drop,"Yeah, 누가 내 수저 더럽대
I don't care, 마이크 잡음 금수저 여럿 패
버럭해 잘 못 익은 것들 스테끼 여러 개
거듭해서 씹어줄게 스타의 저녁에
World business (Bang, bang) 핵심
섭외 1순위 (Clap, clap) 매진
많지 않지 이 class 가칠 만끽
좋은 향기에 악췬 반칙
Mic, mic bungee
Mic, mic bungee, bright light 전진
망할 거 같았겠지만 I'm fine, sorry
미안해, Billboard, 미안해, worldwide
아들이 넘 잘나가서 미안해 엄마
대신해줘 니가 못한 효도
우리 콘서트 절대 없어 포도
I do it, I do it 넌 맛없는 라따뚜이
혹 배가 아프다면 고소해, sue it
Did you see my bag? Did you see my bag?
트로피들로 백이 가득해
How you think 'bout that? How you think 'bout that?
Hater들은 벌써 학을 떼
이미 황금빛 황금빛 나의 성공
I'm so firin', firin' 성화봉송
너는 황급히 황급히 도망 숑숑
How you dare? How you dare? How you dare?
내 손에 트로피 아 너무 많아
너무 heavy 내 두 손이 모잘라 (Turn it up, now!)
MIC Drop, MIC Drop
발 발 조심, 너네 말 말 조심
Lodi dodi, 아 너무 바빠
너무 busy 내 온몸이 모잘라 (Turn it up, now!)
MIC Drop, MIC Drop
(발 발 조심, 너네 말 말 조심)
You might also like이거 완전 네 글자, 사필귀정 ah
Once upon a time, 이솝우화 fly
니 현실을 봐라 쌔 쌤통
지금 죽어도 난 개행복 (Turn it up)
이번엔 어느 나라 가 (Ooh)
비행기 몇 시간을 타 (Hey)
Yeah, I'm on the mountain, yeah, I'm on the bay (Bay)
무대에서 탈진, MIC drop, bam
Did you see my bag? Did you see my bag?
트로피들로 백이 가득해
How you think 'bout that? How you think 'bout that?
Hater들은 벌써 학을 떼
이미 황금빛 황금빛 나의 성공
I'm so firin', firin' 성화봉송
너는 황급히 황급히 도망 숑숑
How you dare? How you dare? How you dare?
내 손에 트로피 아 너무 많아
너무 heavy 내 두 손이 모잘라 (Turn it up, now!)
MIC Drop, MIC Drop
발 발 조심, 너네 말 말 조심
Lodi dodi, 아 너무 바빠
너무 busy 내 온몸이 모잘라 (Turn it up, now!)
MIC Drop, MIC Drop
(발 발 조심, 너네 말 말 조심)
Haters gon' hate
Players gon' play
Live a life, man
Good luck
더 볼 일 없어, 마지막 인사야
할 말도 없어, 사과도 하지 마
더 볼 일 없어, 마지막 인사야
할 말도 없어, 사과도 하지 마
잘 봐 넌 그 꼴 나지
우린 탁 쏴 마치 콜라지
너의 각막 깜짝 놀라지
꽤 꽤, 폼나지 포 포 폼나지, yeah","243,711"
10,Ma City,"니가 어디에 살건
내가 어디에 살건
한참을 달렸네
나 다시 또 한참을 달렸네
Yeah I'll be ridin' and I'll be dyin'
In ma city
I don't know what to say
나 죽어도 말 못해
내게 억만 금을 주고 딴 데 살라고
Ah no thanks
일산 내가 죽어도 묻히고픈 곳
It's the city of the flower
City of 몬
집 같던 라페스타 또 웨스턴돔
어린 시절 날 키워낸 후곡 학원촌 uh
세상에서 가장 조화로운 곳 uh
자연과 도시 빌딩과 꽃 uh
한강보다 호수공원이 더 좋아 난
작아도 훨씬 포근히 안아준다고 널
내가 나를 잃는 것 같을 때
그 곳에서 빛바래 오래된 날 찾네
Remember 너의 냄새 또 everything
You're my summer autumn
Winter and every spring
자 부산의 바다여
Say la la la la la
푸른 하늘아래 this sky line
Say la la la la la
아재들은 손을 들어
아지매도 손 흔들어
Ma City로 와
You might also likeCome to ma city
잘 봐 주길 바래
Know how to party
날 키워준 city
그래 babe babe 이게 나의 city City
Welcome to ma city
한참을 달렸네
나 다시 또 한참을 달렸네
Yeah I'll be ridin' and I'll be dyin'
In ma city
Ma city, ma city yeah
나 전라남도 광주 baby
내 발걸음이 산으로 간대도
무등산 정상에 매일 매일
내 삶은 뜨겁지 남쪽의 열기
이열치열 법칙 포기란 없지
나 KIA넣고 시동 걸어
미친 듯이 bounce
오직 춤 하나로 가수란 큰 꿈을 키워
이젠 현실에서 음악과 무대 위에 뛰어
다 봤지 열정을 담았지
내 광주 호시기다 전국 팔도는 기어
날 볼라면 시간은 7시 모여 집합
모두다 눌러라 062 - 518
자 부산의 바다여
Say la la la la la
푸른 하늘아래 this sky line
Say la la la la la
아재들은 손을 들어
아지매도 손 흔들어
Ma City로 와
Come to ma city
잘 봐 주길 바래
Know how to party
날 키워준 city
그래 babe babe 이게 나의 city City
Welcome to ma city
대구에서 태어나 대구에서 자랐지
수혈 받기엔 좀 힘들어
몸 속에는 파란 피
이 새끼는 매 앨범마다
대구 얘기를 해도
지겹지도 않나 봐
생각을 할 수도 있지만
I'm a D boy 그래 난 D boy
솔직하게 말해 대구
자랑할 게 별 게 없어
내가 태어난 것
자체가 대구의 자랑 워
그래 아 그래
자랑할 게 없기에
자랑스러워 질 수 밖에 안 그래
Ayo 대구 출신 가장 성공한 놈이래
이런 소리를 들을 거야 잘 봐라 이젠
내가 대구의 자랑 새 시대 새로운 바람
대구의 과거이자 현재 그리고 미래
Come to ma city
잘 봐 주길 바래
Know how to party
날 키워준 city
그래 babe babe 이게 나의 city City
Welcome to ma city
한참을 달렸네
나 다시 또 한참을 달렸네
Yeah I'll be ridin' and I'll be dyin'
In ma city
Ma city, ma city yeah
La la la la la la la la
La la la la la la la la
어디 살건 어디 있건
Ma city city
Ma city ma city yeah yeah","242,949"
